項目名,入力例（フォーマット）,キャンペーン情報入力欄,規約・DMテンプレートの目印（プレースホルダー）
【企業・キャンペーン基本情報】,,,
会社名,●●●株式会社,,[会社名]
キャンペーン名,●●●キャンペーン,,[キャンペーン名]
プライバシーポリシーURL,https://privacy.example.com/,,[プライバシーポリシーURL]
【日程情報】,,,
応募期間（開始）,2025年12月1日（月）10:00,,[応募期間開始]
応募期間（終了）,2025年12月15日（月）23:59,,[応募期間終了]
当選DM送付予定日,2026年1月上旬頃,,[DM送付日]
フォーム入力締切日,2026年1月20日（火）,,[フォーム入力締切日]
賞品発送予定日,2026年2月中旬,,[賞品発送日]
フォームURL,https://form.example.com/,,[フォームURL]
【賞品情報】,,,
賞品名1,A賞：デジタルギフト券,,[賞品名1]
賞品名2,B賞：オリジナルTシャツ,,[賞品名2]
賞品名3,（不要なら空白）,,[賞品名3]
賞品名4,（不要なら空白）,,[賞品名4]
賞品名5,（不要なら空白）,,[賞品名5]
合計人数,100名様,,[合計人数]
【プラットフォーム・抽選情報（テンプレート選択のキー）】,,,
プラットフォーム,LINE / X / IG / TikTok から選択,,テンプレート選択キー
抽選種類,IG/事後抽選 / X/事後抽選 / X/即時 / TikTok/事後抽選/TikTok/即時,,テンプレート選択キー
【応募方法（STEP1はテンプレートに固定）】,,,
STEP2. 応募方法,対象投稿に「いいね」とコメントを投稿,,[応募方法_STEP2]
STEP3. 応募方法,指定ハッシュタグを付けて投稿,,[応募方法_STEP3]
STEP4. 応募方法,（不要なら空白）,,[応募方法_STEP4]
STEP5. 応募方法,（不要なら空白）,,[応募方法_STEP5]
【LINE専用情報】,,,
LINEアカウント名,●●●LINE公式アカウント,,[LINEアカウント名]
LINEアカウントID,@line_id_example,,[LINEアカウントID]
LINEアカウントURL,https://line.example.com/,,[LINEアカウントURL]
【X (Twitter) 専用情報】,,,
Xアカウント名,●●●キャンペーン事務局,,[Xアカウント名]
XアカウントID,@X_id_example,,[XアカウントID]
XアカウントURL,https://x.com/X_id_example,,[XアカウントURL]
【Instagram (IG) 専用情報】,,,
IGアカウント名,●●●キャンペーン事務局,,[IGアカウント名]
IGアカウントID,@ig_id_example,,[IGアカウントID]
IGアカウントURL,https://instagram.com/ig_id_example,,[IGアカウントURL]
【TikTok専用情報】,,,
TikTokアカウント名,●●●キャンペーン事務局,,[TikTokアカウント名]
TikTokアカウントID,@tiktok_id_example,,[TikTokアカウントID]
TikTokアカウントURL,https://tiktok.com/@tiktok_id_example,,[TikTokアカウントURL]
